place_type,text,labels
кафе,"Кофе бодрый и десерт свежий, зашло",качество
кафе,"Латте вкусный, но ценник прям кусается",цена
кафе,"Бариста шустрый, заказ отдали за пару минут",сервис
кафе,"Внутри уютно, свет мягкий, сидеть кайф",атмосфера
кафе,"За обычный раф просят как за обед, перебор",цена
кафе,"Сэндвич суховат, а кофе нормальный",качество
кафе,"Официант как будто спал на ходу, ждали долго",сервис
кафе,"Место ламповое, музыка не бесит",атмосфера
кафе,"Взял капучино и чизкейк, оба прям топ",качество
кафе,"Столики тесные, но обстановка приятная",атмосфера
кафе,"Круассан вчерашний, вообще не алё",качество
кафе,"Ребята на кассе приветливые, подсказали по меню",сервис
кафе,"Цены студента не щадят, честно",цена
кафе,"Внутри шумновато, посидеть спокойно не вышло",атмосфера
кафе,"Флэт уайт сделали как надо, без воды",качество
кафе,Очередь двигалась еле-еле,сервис
кафе,"Выглядит красиво, фотки делать одно удовольствие",атмосфера
кафе,"Маффин норм, но за такие деньги не вау",цена
кафе,"Заказ перепутали, потом ещё спорили",сервис
кафе,"Кофе горчит, будто пережгли зерно",качество
кафе,"Интерьер стильный, но стулья деревянные и жёсткие",атмосфера
кафе,"Сиропов мало, выбор скромный",качество
кафе,"Персонал на позитиве, настроение подняли",сервис
кафе,"За фильтр-кофе ценник как за коктейль, смешно",цена
кафе,"Чисто, уютно и без лишней суеты",атмосфера
кафе,"Тирамису огонь, прям советую",качество
кафе,"На выдаче всё быстро, без тупняка",сервис
кафе,"Музыка орёт, разговаривать неудобно",атмосфера
кафе,"Кофе норм, но порция десерта микроскопическая",цена
кафе,"Бариста сделал ровно то, что просил",сервис
кафе,"Внутри пахнет выпечкой, атмосфера супер",атмосфера
кафе,"Американо водянистый, будто пожалели зерна",качество
кафе,Слишком дорого даже для центра,цена
кафе,"Посадили быстро, место нашли без проблем",сервис
кафе,"Сидеть у окна приятно, вид добавляет вайба",атмосфера
кафе,"Эклер свежий, крем не химозный",качество
кафе,"Кассир разговаривал через губу, неприятно",сервис
кафе,"Снаружи мило, внутри ещё уютнее",атмосфера
кафе,За альтернативное молоко доплата какая-то конская,цена
кафе,"Раф переслащён, пить тяжело",качество
кафе,"Заказ сделали быстро, даже удивился",сервис
кафе,"Место крохотное, но очень тёплое по ощущениям",атмосфера
кафе,"Чизкейк плотный и вкусный, не резиновый",качество
кафе,"Два напитка вышли дороже, чем ожидал",цена
кафе,На кассе помогли выбрать что-то без сахара,сервис
кафе,"Свет тусклый, вечером прям атмосферно",атмосфера
кафе,"Какао так себе, будто из пакета",качество
кафе,"Кофейня симпатичная, но тесно между столами",атмосфера
кафе,"За десерт и кофе отдал больше штуки, многовато",цена
кафе,"Ребята вежливые, всё спокойно и по делу",сервис
ресторан,"Стейк сочный, прожарка ровно как просил",качество
ресторан,"Очень дорого, но кухня реально тянет",цена
ресторан,Официант исчезал каждые десять минут,сервис
ресторан,"В зале красиво и не душно, сидеть приятно",атмосфера
ресторан,"Паста пресная, вообще без характера",качество
ресторан,За такие порции цена слишком дерзкая,цена
ресторан,Подали быстро и без путаницы,сервис
ресторан,"Интерьер богатый, но не кич",атмосфера
ресторан,"Суп горячий, насыщенный, прям домашний",качество
ресторан,"Хостес встретила холодно, будто мы мешаем",сервис
ресторан,Музыка слишком громкая для ужина,атмосфера
ресторан,"Меню дорогое, половину позиций брать не хочется",цена
ресторан,"Ризотто кремовое, не каша, кайф",качество
ресторан,"Официантка супер, всё объяснила по блюдам",сервис
ресторан,"Лампы тусклые, столы стоят удобно, вайб хороший",атмосфера
ресторан,"Бургер сухой, булка развалилась",качество
ресторан,Счёт вышел неприятно большим,цена
ресторан,Ждали горячее почти сорок минут,сервис
ресторан,"Зал уютный, можно спокойно поговорить",атмосфера
ресторан,"Рыба свежая, без постороннего запаха",качество
ресторан,"Цены как в премиуме, а уровень обычный",цена
ресторан,Приборы принесли не сразу,сервис
ресторан,"Красивая подача, приятно смотреть",качество
ресторан,"Атмосфера семейная, без пафоса",атмосфера
ресторан,"Тартар сделан аккуратно, вкус сбалансирован",качество
ресторан,"Сервис плавает: то быстро, то полный стоп",сервис
ресторан,Вино дорогое даже по ресторанным меркам,цена
ресторан,"Сиденья удобные, посадка комфортная",атмосфера
ресторан,"Том ям бодрый, не просто вода с креветкой",качество
ресторан,"Официант торопил с заказом, это минус",сервис
ресторан,Для такого места цены терпимые,цена
ресторан,"Освещение мягкое, вечер проходит приятно",атмосфера
ресторан,Пицца из печи прям как надо,качество
ресторан,"Персонал внимательный, воду подливают без напоминаний",сервис
ресторан,"Интерьер уставший, нужен апдейт",атмосфера
ресторан,"Закуски норм, но основное блюдо подкачало",качество
ресторан,Слишком дорого за обычную пасту,цена
ресторан,"Бронирование нашли быстро, посадили без вопросов",сервис
